Place,State,Ideal Time to Visit,Ideal duration,Starting Budget,Main Attraction,About,Top Places to Visit
Wayanad,Kerala    India,October - May,1-2 days, ₹ 340," ""Nature's Abode"" "," Replete with waterfalls, historical caves, comfortable resorts and homestays, Wayanad in Kerala is famous for its spice plantations and wildlife. Walking through the sprawling spice plantations, trekking to the pre-historic caves and experiencing a resort holiday are one of the many things you can do to get a taste of Wayanad. Wayanad is best known for the wildlife reserves - Wayanad wildlife reserve which is home to an exquisite variety of flora and fauna. Wayanad wildlife reserve is an integral part of the Nilgiri biosphere reserve peacefully located amidst the serene hills of Western Ghats. Wayanad homes a wide variety of wildlife like elephants, leopards, and bears. Wayanad is a perfect weekend idea from the cities of South India. If taking a road trip from Bangalore, you will drive through three national parks: Nagarhole, Bandipur and Mudumalai.","Banasura Sagar Dam, Wayanad Wildlife Sanctuary, Chembra Peak, Edakkal Caves, Stay in a Treehouse, Soochipara Falls"
Mount Abu,Rajasthan    India,Oct-Mar,1-2 days," ₹ 5,207"," ""A beautiful hill station in Rajasthan"" "," The only hill station of Rajasthan, its cool atmosphere and lush green surroundings make it a major tourist spot within the state. The most important attraction, however, are undoubtedly the Dilwara temples, which is one of the most stunning piece of architecture in the country. If you are a history or architecture buff, this is one of the places you should absolutely not miss out in India. The exceptionally intricate architecture of the Dilwara temples are of course the main attraction here, and you can easily spend hours wondering how these temples were built over 2 centuries, almost a 1000 years back. The temples were specifically made so that they are plain from the outside to avoid attraction of plunderers, and have withstood the test of time extremely well. If architecture is not your thing, then there are various lakes and viewpoints such as the Honeymoon Point, Sunset Point, etc. Tourists enjoy calm and relaxed boating in the Nakki lake, and a view of the sunset from the Sunset point. The highest peak of the Aravali Range also lies in Mt. Abu, surrounded by dense green forests. Mt Abu will offer you all you can demand from a popular and typical destination of a romantic and simpler nature.","Dilwara Temples, Mount Abu Wildlife Sanctuary, Nakki Lake, Guru Shikhar, Arbuda Devi Temple, Achalgarh Village"
Hampi,Karnataka    India,October-March,2-4 days," ₹ 5,207"," ""The abode of bygone ruins, rusty colors and fascinating landscape"" "," Hampi, the city of ruins, is a UNESCO World Heritage Site. Situated in the shadowed depth of hills and valleys in the state of Karnataka, this place is a historical delight for travellers. Surrounded by 500 ancient monuments, beautiful temples, bustling street markets, bastions, treasury building and captivating remains of Vijayanagar Empire, Hampi is a backpacker's delight. Hampi is an open museum with 100+ locations to explore and a favourite way to see the city from the perspective of its history. Hampi was the capital of the Vijayanagar empire around 1500 AD, and by some accounts, the second largest city in the world at that time. Over the next centuries it fell out of importance, and now you can explore the ruins of a lot of temples and other structures spread out over a vast area. The terrain around Hampi is as mysterious as the ruins itself - the city is surrounded by boulders of different sizes, and you can climb to the top of them with a little effort to get a stunning view of the entire city and the geography. It is located on the banks of the Tungabhadra River. Famous for its massive, beautifully carved temples, especially the Virupaksha Temple, dedicated to the patron deity of the empire. You can also find remains of the old aqueducts, canals and military barracks and stables here. Hampi was declared a UNESCO World Heritage site in 1986 and many efforts have been taken to restore the lost glory of the place - very limited (if any) modern establishments are allowed in the main area, which gives an authentic feel to the ruins.","Virupaksha Temple, Hampi, Vithala Temple, Lotus Palace, Yantrodharaka Hanuman Temple, Hampi Bazaar, Hippie Island"
Gulmarg,Jammu & Kashmir    India,Oct-Jun,1-2 days," ₹ 11,000"," ""Heart of Winter Sports in India"" "," Situated at an altitude of 2730 m above sea level, Gulmarg is a popular skiing destination located in Pir Panjal Range of Union territory of Jammu and Kashmir. Surrounded by snow-covered lofty Himalayas, meadows of flowers, deep ravines, evergreen forested valleys, Gulmarg also has the world's second-highest Gondola ride. Among one of the top honeymoon destinations in India, Gulmarg boasts of being a beautiful town without the crowd like Manali and Shimla. Gulmarg has also been developed as an adventure hub as Indian Institute of Skiing and Mountaineering is located here. A lot of courses on trekking, mountaineering, skiing, and snowboarding are offered by IISM. There are a lot of other private tour operators in Gulmarg as well which provide similar courses and facilities for skiing, snowboarding and trekking. Known for its scenic beauty, Gulmarg has also been a popular destination for shooting of various Bollywood films.","Gulmarg Gondola, Skiing in Gulmarg, Alpather Lake, Gulmarg Biosphere Reserve, Strawberry Valley, Gulmarg Golf Course"
Almora,Uttarakhand    India,Throughout the year,1-2 days," ₹ 27,500"," ""A cozy heritage town nestled in the Himalayas."" "," Cradled in the wilderness of Himalayan ranges, the sprawling town of Almora shaped like a horse-shoe is a hill station that boasts of a pre-British heritage and an adyllic vibe. Famous for its rich cultural heritage, unique handicrafts, sumptuous cuisine and magnificent wildlife, coupled with an easy accessibility, Almora promises its tourists a visit full of fun and unforgettable moments. This agrarian town has two major rivers- Koshi (Kaushaki) and Suyal (Salmali) flowing through it. ""The enchanting beauties of the Himalayas, their bracing climate and the soothing green that envelopes you leaves nothing more to be desired. I wonder whether the scenery of these hills and the climate are to be surpassed, if equaled, by any of the beauty spots of the world. After having been nearly three weeks in Almora Hills, I am more than ever amazed why our people need go in Europe in search of health. "" - Mahatma Gandhi","Zero Point, Jageshwar, Chitai Temple, Dunagiri, Jalna, Bright End Corner"
Shirdi,Maharashtra    India,Jul-Mar,1-2 days, 130 ," ""The land of Sai Baba"" "," The home of great saint Sai Baba, Shirdi is a religious site close to Nasik with various temples apart from the famous Sai Baba temple and a few historical sites. Located in the Ahmednagar district of Maharashtra, Shirdi holds a strong importance as a holy and pilgrim place by Sai Baba devotees. The small town is filled with religious spots and activities which will soothe and calm your soul on its visit. The air here carries chants lingering with spirituality and the whole grandness about the same too will leave you spellbound. There are many religious places to be seen in Shirdi such as Chavadi, Samadhi Mandir, Dwarkamai masjid, Shani Shignapur, to name a few.","Shri Sai Baba Sansthan Temple, Shani Shingnapur, Samadhi Mandir, Gurusthan, Dwarkamai, Lendi Baug"
Auli,Uttarakhand    India,Throughout the year,2-3 days," ₹ 2,250"," ""The skiing destination of India"" "," Dotted with the apple orchards, old oaks and pine trees there is no dearth of natural beauty in Auli. Apart from skiing you can also go for numerous treks in the hills of Garhwal Himalayas and enjoy the spellbinding views of the snow-draped mountains. Auli is a popular hill resort in the Himalayan range dating back to 8th Century AD. Auli is a popular skiing destination in India because of its glittering slopes and clean environment. Dotted with apple orchards, oaks and deodars, Auli is a popular hill town with numerous ski resorts situated amidst the Himalayan range. Located at 2800 meters above sea levels, it is home to mountain ranges of Nanda Devi, Mana Parvat and Kamat Kamet. Many religious destinations are also scattered around Auli. It is believed that Shankracharya had blessed Auli with his visit.","Skiing in Auli, Trishul Peak, Auli Ropeway, Joshimath, Gurso Bugyal, Trekking in Auli"
Madurai,Tamil Nadu    India,Oct-Mar,1-2 days, 105 ," ""The Lotus City"" "," Madurai, the cultural capital of Tamil Nadu, is one of the oldest continuously inhabited cities of India. Ruled by Pandya kings for the longest time in its history, it is called as the 'Lotus City' as it was planned and built in the shape of a lotus. Madurai is known for Meenakshi Amman Temple, dedicated to the goddess Meenakshi with a sanctum for her consort, Sundareshwarar.  There are many other ancient temples in Madurai, including Thiruparankundram. It is one of the important old temples dedicated to Lord Muruga(Karthikeya) and is located on a hillock approximately 8 km from the city. Having trade ties with ancient Rome, the place holds a great cultural heritage. With bustling bazaars and fantastic street food, Madurai has heritage walks conducted throughout the day. Madurai is instrumental in promoting Tamil language and preserving the culture.","Madurai Meenakshi Amman Temple, Thirumalai Nayakar Mahal, Vaigai Dam, Alagar Koil, Meghamalai, Samanar Hills"
Amarnath,Jammu & Kashmir    India,May-Sep,1 day," ₹ 4,514"," ""A haven for pilgrims."" "," Amarnath is one of the most important pilgrimage in India for the worshippers of Lord Shiva. The Amarnath cave is haven to an enshrined image of ice called the Shivaling formed naturally, which resembles Lord Shiva. Amarnath is visited by millions of tourists every year from all across the world in what is famously known as the 'Amarnath Yatra'. The Amarnath cave situated in this town is considered to be a devout location for the pilgrims, most notably Hindus. Legend has it that, this place is regarded to be the same cave where Lord Shiva revealed the secret of life and eternity to Goddess Parvati. Amarnath Cave is accessible only during the Sharavan months of July-August. There are two routes available for undertaking the Amarnath Yatra - via Baltal or Pahalgam. The Baltal route, though shorter, has a steeper trekking route. The Pahalgam route is longer but is generally preferred by most of the devotees. It usually takes 3-5 days to reach Amarnath from the base point. Helicopter services are now available by private operators on both these routes. The devotees need to make advance bookings and get registered to undertake the holy pilgrimage to Amarnath.How about you visit the place, and end up finding your very own formula to eternity?","Amarnath Cave, Amarnath Yatra, Baltal, Pahalgam"
Bodh Gaya,Bihar    India,Oct-Mar,1-3 days," ₹ 7,251"," ""Buddha, Mahabodhi Tree and the land of Nirvana"" "," Bodh Gaya is a Buddhist pilgrimage site in Gaya District of Bihar. Famous for the Mahabodhi Temple, It was here under the Bodhi tree that Gautama Buddha attained enlightenment. It is now one of the UNESCO World Heritage Sites, and a lot of foreign countries, including Japan and China, have helped the Indian government in building facilities for the Buddhist pilgrims. The place is bustling with pilgrims all through the year from India and abroad who come to pay their homage in monasteries, temples and remnants of Bodhi Tree.Located near the river Neranjana, Bodh Gaya was earlier known as Uruwela. It was also known as Sambodhi, Vajrasana or Mahabodhi until the 18th century CE. It is one of the four important Buddhist sites that include: Kushinagar, Lumbini and Sarnath.","Mahabodhi Temple, Great Buddha Statue, Tibetan Refugee Market, Bodhi Tree, Bodh Gaya, Thai Monastery, Mahabodhi Temple Complex Book store"
Ujjain,Madhya Pradesh    India,Oct-Mar,1-2 days," ₹ 7,251"," ""The Home of Mahakaleshwara"" "," Ujjain, considered to be one of the holiest cities of India, is an ancient city situated on the eastern bank of the Shipra River in the Malwa region of Madhya Pradesh. Ujjain is one of the four sites for the Kumbh Mela, the largest peace-time gathering on the planet that attracts 100 million people to the festival. This makes Ujjain an important place of Hindu Pilgrimage. To add to that, it is also home to the Mahakaleshwar Jyotirlinga, one of the twelve Jyotirlinga shrines to the god Shiva. Ujjain is one of the most glorious cities of ancient India as it was also known to be the educational hub of various Indian scholars. The immense wealth of Ujjain in terms of religion, architecture, and educational value makes this is a top attraction amongst not only Indian travellers but also amongst foreign tourists as well. Ujjain is located at a distance of 52 km from Indore, which is also the nearest major airport.","Mahakaleshwar Jyotirlinga, Kal Bhairava Temple, Ram Mandir Ghat, Kumbh Mela, Ujjain, Harsiddhi Temple, Kaliadeh Palace"
Pachmarhi,Madhya Pradesh    India,Throughout the year,2-3 days, 37 ," ""Queen of the Satpuras"" "," Pachmarhi is the only hill station and is the highest point in Madhya Pradesh. Pachmarhi is also often known as ""Satpura ki Rani"" or the ""Queen of the Satpura Range"". Situated at an altitude of 1,067 metres, the picturesque town is a part of UNESCO Biosphere Reserve, home to leopards and bison. Five sandstone cut caves on the hilltop are believed to be the spot where Pandavas stayed in Pachmarhi during their exile, making it a popular spot among religious tourists. Being at an elevated height and surrounded by bewitching forests of the Satpuras with the streams and waterfalls, Pachmarhi is a perfect weekend getaway from the nearby cities of Madhya Pradesh and Maharashtra. Since the town was discovered and developed in modern times by Captain James Forsyth of the British Army, it houses charming churches built in colonial style architecture.","Bee falls, Jata Shankar caves, Pandava Caves, Dhoopgarh, Handi Khoh, Mahadeo hill"
Mahabaleshwar,Maharashtra    India,December - February,2 days," ₹ 1,250"," ""The land of Strawberries"" "," Mahabaleshwar is a hill station located in the Western Ghats, in Satara district of Maharashtra. Apart from its strawberries, Mahabaleshwar is also well known for its numerous rivers, magnificent cascades and majestic peaks. It is among the most sought after weekend getaways from Mumbai. Mahabaleshwar is also a sacred pilgrimage place for Hindus as the Krishna river originates from here. Once a summer capital of the British, the hill station of Mahabaleshwar comprises of ancient temples, boarding schools, manicured and lush green dense forest, waterfalls, hills, valleys. It is often used as a base to visit the magnificent Pratapgad Fort, located an hour away.Malcolm Peth, Old Kshetra Mahabaleshwar and a region of the Shindola village are the three villages that make up Mahabaleshwar. It is located about 120km south-west of Pune and 285km from Mumbai.","Elephant's Head point, Chinaman's falls, Dhobi waterfall, Arthur's seat, Venna Lake, Wilson Point"
Nashik,Maharashtra    India,July - March,2-3 days, 143 ," ""Of Wines and Vineyards"" "," Nasik is a religious Hindu city, host to the Kumbh Mela every 12 years. It also makes for a perfect wine tasting destination. Nashik (Nasik), named after a relic associated with Ramayana, is a city in Maharashtra located on the banks of river Godavari. Nashik plays host to the famous Kumbh Mela every 12 years. The city is home to plenty of exotic temples and is known in Hindu mythology as the place where Ravana's sister, Surpanakha, tried to seduce Lord Ram and got her nose cut off by Lakshman in the process. Its religious importance doesn't end there. It also plays host to the thousands of tourists visiting Shirdi and Trimbakeshwar. Apart from its temples, Nashik also has forts, waterfalls and vineyards to look out for. With multiple vineyards present in Nashik, the most popular being Sula, the wine-tourism industry is mushrooming in this part of Maharashtra. Nashik gives you the chance to experience a fabulous cocktail of extremes - from temples to vineyards, hills to waterfalls, this place offers a lot to see.","Panchvati, Sula Vineyard, Dudhsagar falls, Nasik, Saptashrungi, Trimbakeshwar, Nasik Caves"
Tirupati,Andhra Pradesh    India,September - March,1-2 days, 93 ," ""Andhra's temple town"" "," Situated in the Chittoor district of Andhra Pradesh, Tirupati is known for Lord Venkateshwara Temple, one of the most visited pilgrimage centres in the country. Tirumala is one of the seven hills in Tirupati, where the main temple is located. The temple is believed to be placed where Lord Venkateshwara took the form of an idol and is hence. Home to the diety Govinda, Tirupati is one of the oldest cities of India and finds mention in plenty of ancient Vedas and Puranas. The non-stop chanting of ‘Om Namo Venkatesaya’, the mad pilgrim rush and the 8-feet tall idol of Lord Venkateshwara – everything about the Sri Venkateshwara Temple is majestic. Spread over an area of 26 kilometres and visited by nearly 50,000 pilgrims every day, the temple is also commonly referred to as the Temple of Seven Hills. There are other temples in Tirupati too that you can visit, including the Sri Kalahasti temple, Sri Govindarajaswami Temple, the Kondandarama Temple, the Parashurameshwara Temple, and the ISKCON temple. Tirupati is home to a unique geological wonder that you shouldn’t miss out on. The Silathoranam is a natural arch formed out of rocks and is located at the Tirumala Hills. ","Sri Venkateswara Temple, Akasaganga Teertham, Silathoranam, Swami Pushkarini Lake, City Shopping, Vedadri Narasimha Swamy Temple"
Gwalior,Madhya Pradesh    India,Jul-Mar,1-2 days, 93 ," ""Tourism Capital of Madhya Pradesh"" "," Gwalior is a historic city located in the state of Madhya Pradesh. Popular because of the hilltop fort, Gwalior is full of palaces and glorious temples giving this city a majestic charm which speaks volumes of its glorious past. A historic city founded by king Surajesan, Gwalior is a city where India's most eminent royalty once resided. Jai Vilas Pala has the largest carpet in the world which took almost 12 years to weave and two most massive chandeliers in the world that weight close to 3.5 tonnes.The great Indian musician Tansen was born in Gwalior, and the tomb of Tansen is also an important place here. Every year, in November/December, a four-day Tansen Music festival is celebrated in the city where various classical musicians from all over the country perform on the stage near the tomb itself. Visit the various monuments and museums, eat the local delicacies like namkeen and go boating in Tighra Dam while you are in the city.","Gwalior Fort, Jai Vilas Palace, Gujari Mahal (State Archaeological Museum), Man Mandir Palace, Tomb of Tansen, Teli Ka Mandir"
Mathura,Uttar Pradesh    India,Oct-Mar,1-2 days, 75 ," ""The hometown of Lord Krishna"" "," One of Hinduism's seven sacred cities, Mathura is the birthplace of the very beloved Lord Krishna. Located in the state of Uttar Pradesh, Mathura and Vrindavan are often considered twin cities (located only 10km away from each other). Mathura is a small town dotted with temples from various ages and attracts a horde of pilgrims from all over the world.  One side of Mathura is stretched across the Yamuna River, lined with 25 ghats, which are best visited during dawn when you can witness locals and tourists taking a holy dip, and at dawn (just after the sunset) when hundreds of diyas are floated during the daily aarti. Mathura is flooded with tourists and pilgrims during the two main festivals - Janmashtami (Lord Krishna's birthday) in August/September, and Holi in February/March.Shri Krishna Janmabhumi is the most famous tourist attraction in Mathura, as this place is believed to the be the exact place where Lord Krishna was born, and the prison where he was born is now on display for tourists to see. Mathura has many temples, both big and small, dotting the entire city, with many of these temples being dedicated to Lord Krishna. The two most important temples in town are the Dwarkadheesh Temple and the Gita Mandir. If you are looking for more than just the standard tourist fare, then the best way to explore Mathura is by taking a walk around the streets of the city. Every nook and cranny of this religious town still retains an old-world charm that belies the urbanization the city has kept up with. There is a lot of history to Mathura that you can experience only by exploring the old-fashioned architecture, the crumbling ruins of old houses, and the genial amiability of the locals who are always willing to show you around.It is not possible to think of a city as old as Mathura and imagine it not having a delicious history of street food! Don’t forget to try out local snacks like kachodis, aloo-puri and chaat, which are available at any and all eateries lining the streets. Jalebis and gulab-jamuns are also very popular local street food items that are available at all shops throughout the day.","Lathmar Holi, Govardhan Hill, Shri Krishna Janmasthan Temple , Dwarkadheesh Temple, Mathura, Vishram Ghat, Birla Mandir Mathura"
Jog Falls,Karnataka    India,Jul-Dec,1 day, 14 ," ""Second Highest Waterfall in India"" "," The second-highest plunge waterfall in India, Jog Falls is a major tourist attraction in Karnataka and is the highest waterfall in the state. Second, to the Nohkalikai Falls of Meghalaya, Jog falls drops about a huge 253 m (850 ft. ) in a single fall. However, due to the construction of Linganamakki Dam which is a hydroelectricity plant closeby, the flow in the falls is hugely restricted before monsoons. So, it is best to go during the Monsoon season to see the falls in its full form. Jog Falls is a 2 hours drive from the main Shimoga city. Also known as Gerosappa Falls or the Joga Falls, this seasonal waterfall is broken into four segments - Raja, Roarer, Rocket and Rani. They're named based on certain characteristics of the streams. Raja is an unbroken stream, Roarer is a strong and violent current that gushes down to meet the Raja stream, Rocket flows down in different jets and Rani is a quiet stream with falls in foam. Next time you visit, try identifying the streams!",
Alibag,Maharashtra    India,Nov-Mar,1-2 days, ₹ 300," ""Coconut groves and Sandy Beaches"" "," A little coastal town tucked away in the Konkan region of Maharashtra, Alibag or Alibaug is a very popular weekend getaway and has earned itself the name of 'mini-Goa', owing to the high tourist footfall all year round. Steeped in colonial history, Alibaug is a quaint little town located about 96 km from Mumbai and 150 km from Pune, and is replete with sandy beaches, clean unpolluted air and plenty of forts and temples, ensuring that despite being a small town, you never run out of activities to do. Alibaug is famous for its numerous beaches, which are only a few minutes’ drives away from each other, so you won’t have to worry about which beach to visit and which one to leave out. The most visited beach in Alibaug is, of course, Alibaug Beach, which offers a spectacular of view of not only the sunrise and sunset but of the Kolaba Fort as well, which you can take a short boat ride to. The Colaba fort was once the cornerstone of the Maratha Empire, and most of the edifice is still in good shape. Other popular beaches in the area include Kihim Beach, and Nagaon Beach, with Kihim beach being a photographer’s paradise.Alibaug is also home to Mandwa Beach, a beach famously known for the innumerable number of movie shootings that take place here. The beach offers a stunning view of the Gateway of India from its bay, and you can sit and sip on a cool drink on the sand under the orchard of coconut trees lining the beach. Having black sand and rock faces, the new addition of water sports in Alibaug like jetski and boating has made Alibag a perfect weekend getaway in Maharashtra. Most tourists spend at least one night in Alibag.","Water Sports in Alibaug, Kolaba Fort, Alibaug Beach, Vrindavan Farm, Nagaon Beach, Murud-Janjira Fort"
Rameshwaram,Tamil Nadu    India,Throughout the year,1-2 days," ₹ 11,200"," ""The Bridge on the Indian Ocean"" "," Rameshwaram is one of the holiest places in India and is located on a beautiful island. It is separated by a small Pamban channel from Sri Lanka. According to the Hindu mythology, this is the place where Lord Rama created a bridge across the sea to Sri Lanka. Rameshwaram is located on a beautiful island in the lower side of India. Lord Shiva too is worshipped in this place. Renowned for its magnificent prakaras with massive sculptured pillars on either side, The Ramanathaswamy Temple houses the longest corridor in the world. Agniteertham is famous for its sacred waters and Pilgrims perform poojas in honour of their ancestors at this seashore. The Five-faced Hanuman Temple holds the floating stone which was used to build the bridge between India and Sri Lanka.","Rameshwaram Temple, Dhanushkodi Temple and Beach, Jatayu Tirtham, Agnitheertham, Lakshmana Tirtham, Villoondi Tirtham"
Vrindavan,Uttar Pradesh    India,Oct-Mar,1-2 days, 186 ," ""Lord Krishna's childhood abode"" "," One of the oldest cities on the banks of Yamuna, Vrindavan is considered to be one of the most important places of pilgrimage for the devotees of Krishna. It is said that Lord Krishna had spent his childhood in Vrindavan. The name of the city has been derived from Vrinda (meaning basil) and van (meaning grove) which perhaps refer to the two small groves at Nidhivan and Seva Kunj. Since Vrindavan is considered to be a sacred place, a large number of people come here to abandon their worldly life. The city of Vrindavan hosts hundreds of Lord Krishna and Radha temples scattered throughout, the most famous ones being Banke Bihari temple and the world-famous ISKCON temple. The vibrant surroundings perfectly depict the playful and benevolent nature of Lord Krishna. Located along the waters of River Yamuna, the numerous temples set amidst the thick woods and lush greenery of Vrindavan are the major attractions here. ","Banke Bihari Mandir, Prem Mandir, Radha Raman Temple, ISKCON Vrindavan, Sri Ranganatha Temple, Katyayani"
Coimbatore,Tamil Nadu    India,Sep-Mar,1-2 days, ₹ 729," ""Manchester of the South India"" "," Often termed as 'Manchester of South India', Coimbatore, the second-largest city in Tamil Nadu, photographically situated on the banks of River Noyyal. Coimbatore, also known as Kovai, is a welcoming area with the backdrop of hustle-bustle and charm of activity and industry. From ancient temples to classy new buildings, from breathtaking mountains to jaw-dropping waterfalls, from mouth-watering cuisine to pleasant weather all year round, Coimbatore has everything you could possibly need to make for a perfect holiday experience. Coimbatore is home to a massive 112 feet tall statue of Lord Shiva, known as the Adiyogi Shiva Statue. Featured in the Guinness Book of World Records, this architectural masterpiece is a very popular tourist spot in Coimbatore and stands as a symbol of self-transformation and inner peace.  Camping and trekking are very popular things to do in Coimbatore, so if you’re looking for a thrill, don’t forget to check out the most exciting trekking trails that the city has to offer, such as the Dhoni Hills, the Vellari Mala, the Perumal Peak, and the Thalaiyar Falls trek. The official name of Coimbatore has been changed to Koyampuththoor. It was done to change the name of the city closer its original name in Tamil.","Vydehi Falls, Adiyogi Shiva Statue, Kovai Kondattam, Marudhamalai Hill Temple, Sree Ayyappan Temple, Velliangiri Hill Temple"
Lucknow,Uttar Pradesh    India,Oct-Mar,1-2 days, 317 ," ""The City of Nawabs and Kebabs"" "," The capital and the largest city of Uttar Pradesh, Lucknow, situated on the banks of river Gomti, welcomes you with a heartwarming note of ""Muskuraiyein, kyunki aap Lucknow mein hai"". A city of kebabs and nawabs, of architecture and history, of literature and culture – that is Lucknow in a nutshell for you. From a slice of rich colonial history to modernized museums, this artistic hub of Awadh region beautifully brings together the opulence of a glittering past and the simplicity of a modern city. Rumi Darwaza, the Mughal Gateway built in the centre of the capital divides Lucknow into 'Old Lucknow' which is ancient, and more crowded, and the 'New Lucknow' which is urban and one of the most planned cities of Asia. Most of Old Lucknow is well-known for its bustling vibrant streets, authentic, mouth-watering kebab and biriyani outlets, lakhnavi chikan market, and the wholesale jewellery stores.New Lucknow, on the other hand, hosts people of varied cultures and is structurally planned with wide roads, shopping malls and parks built to serve diverse entertainment purposes. The most famous among these parks are the Ambedkar Park and the Gomti Riverfront Park, both ideal places for visiting and strolling around with friends and family in the evening. Hazratganj, a major shopping area located in the heart of Lucknow, is famous for its 'chaat' and 'kulfi' eateries, posh Mughlai restaurants, and various shopping complexes. All the buildings in Hazratganj have a distinct Victorian architecture, and you can shop for literally anything – starting from inexpensive accessories and trinkets to high-end clothes, shoes and jewellery. The people of Lucknow are known for their courtly manners and endearing 'pehle aap' (you first) culture, which always leaves behind a smile on the faces of its visitors. ","Bara Imambara, Chota Imambara, British Residency, Rumi Darwaza, Hazratganj Market, Lucknow Zoo"
Digha,West Bengal    India,Jul-Mar,1-2 days, 82 ," ""A blissful and untouched beach town"" "," Beach town situated on the shores of Bay of Bengal, Digha is a popular tourist destination known for its untouched beaches and scenic views, especially among people in West Bengal. Digha is a one-stop destination for families looking forward to spend a pleasurable weekend. One of the best features of this hamlet is its varied and diverse tourist attraction spots. Known for its magnificent beaches, religious temples and high-tech research centers and museums, this most popular sea resort of West Bengal has a lot to offer for people of all age groups. Digha's sceneries can also offer you the pleasure experienced in witnessing areas that have minimal human impact and are relatively untouched.","Marine Station/Aquarium of Zoological Survey of India, New Digha Beach, Udaipur Beach, Shankarpur Beach, Talsari Beach, Amarabati Park"
Dharamshala,Himachal Pradesh    India,Mid-February - Mid-July,2-4 days," ₹ 9,000"," ""The little Lhasa in India"" "," Dharamshala or Dharamsala city is located in Kangra district at a distance of 18 km from Kangra city. Dharamsala is separated as upper and lower divisions with different altitudes. The lower division is the Dharamsala town itself. whereas, the upper-division is located 3km away and popularly known as Mcleodganj. Dharamsala is prominently visited for the bus connections and the bustling market.  Dharamsala is the home to Dalai Lama, the Buddhist leader who runs his government in exile from Dharamsala. Now, what better place on earth than this little town set on the foothills of Dhauladhar ranges to experience the rich and regal Tibetan culture. In the year 1959, Dalai Lama came to India with his followers and settled, rather beautified the town of Dharamsala, transforming it into the little Lhasa. Dharamsala, for many years, has been a centre of meditation and peace, with thousands of people from around the world coming here to seek Nirvana. ","Dharamshala Cricket Stadium, Library of Tibetan Works and Archives, St. John in the Wilderness Church, Dharamshala International Film Festival 2020, War Memorial, Gyuto Monastery"
Kovalam,Kerala    India,Sep-Mar,1-2 days," ₹ 7,500"," ""Beaches, Ayurveda and Shopping"" "," Kovalam is an idyllic coastal town located around 13 km from Thiruvananthapuram in Kerala. Famous for its three adjacent crescent-shaped shallow water and low tidal beaches, Kovalam is dotted with resorts and ayurvedic massage centres. Earlier a fishing village, Kovalam started attracting tourists in the 1930s and shot to fame in the hippie epoch of 1970s. It still sees the influx of tourists from Israel and Europe. Ayurvedic treatments and massages are one of its most popular indulgences along with yoga, meditation as well as other cultural activities. Kovalam perhaps comes full circle as it is also a shopping destination given the rich spices, wooden statues and handicrafts that can make popular takeaways.","Vellayani Lake, Kovalam, Water Sports in Kovalam, Lighthouse Beach, Hawah Beach, Halcyon Castle, Samudra Beach"
Kaziranga National Park,Assam    India,Oct-Jun,1-2 days," ₹ 8,000"," ""Home to the One Horned Rhino"" "," Home to the largest population of the one-horned rhino on earth, Kaziranga National Park is one of India’s national treasures in terms of flora and fauna. Located in the state of Assam in North-Eastern India, its total area is shared by the districts of Nagaon, Golaghat and Karbi Anglong placing it roughly at the centre of the state. Approximately around five hours by road from Guwahati, Kaziranga National Park stands tall as the epitome of successful wildlife conservation in India. In 1985, it was awarded the status of a World Heritage Site by UNESCO. Lying on the floodplains of the mighty river Brahmaputra, rich vegetation covers almost the entirety of Kaziranga National Park. Receiving massive amounts of rainfall each year, at times even crossing dangerous levels, this national park is characterised by tall elephant grass, marshlands and tall tropical broadleaf forests. Here, a wide variety of fauna thrives including the one-horned rhino, Asiatic elephants, wild water buffalo, leopards and Royal Bengal Tigers. Kaziranga National Park is also listed officially as a Tiger reserve and is home to one of the world’s largest population of tigers. Different types of birds can also be spotted here at the park. A popular migratory location for birds who fly down from the north, one can spot various birds such as the black-nested stork, the lesser white-fronted goose, ferruginous duck and Baer's pochard duck to name a few. Other notable bird families which can be seen here include the great Indian hornbill and wreathed hornbill among many others.Safaris can be undertaken both during the day and night during the open tourist season. Elephant rides are also very popular among tourists and wildlife journalists and enthusiasts. Hiking is one such activity which is prohibited here to avoid casualties. Great care is taken at this national park such that tourism and natural sustainability go hand in hand.",
Madikeri,Karnataka    India,Feb-Sep,1-2 days, 386 ," ""Karnataka's Coffee Capital"" "," Generally covered as a part of trips to Coorg, Madikeri is a hill town in Karnataka with vast coffee plantations, lush forests and misty hills, all culminating into a breathtaking view. Located in Kodagu District around 6 hours from Bengaluru, Madikeri is a perfect weekend getaway. There is no pollution, no noise to hurt your ears and the cool breeze that accompanies you throughout makes your trip memorable. The most famous place of Madikeri is Raja's Seat- a famous viewpoint from where you can grab all the striking beauty of Madikeri at one go. Madikeri fort and various water cascades are among the other must-visits of the place. Spend a couple of days in the beautiful homestays and Airbnb for a rejuvenating experience. Madikeri, apart from being a refreshing summer retreat, is also famous for its coffee plantations, which are one of its kind in India. No wonder why Madikeri is also famous as 'Karnataka's Coffee Capital.' Renowned for its coffee plantations, this is one of the best places for coffee lovers. To get the real feel you can stay at one of the homestays situated on the coffee estates. You can also take Plantation Tours and help out in berry picking on the fields.","Abbey Falls, Talacauvery, Namdroling Monastery, Raja's Seat, Trekking in Madikeri, Gaddige Raja's Tomb"
